id,user_name,subject,start_at,end_at
37,Alice,理科,2021-12-19 21:05:03.339029+09:00,2021-12-19 22:15:41.855988+09:00
38,Bob,社会,2021-12-19 05:28:28.060764+09:00,2021-12-19 06:32:07.503849+09:00
39,Alice,社会,2021-12-20 20:08:34.036406+09:00,2021-12-20 21:32:47.894228+09:00
40,Alice,国語,2021-12-21 20:10:25.819715+09:00,2021-12-21 21:45:06.765144+09:00
41,Alice,数学,2021-12-22 20:03:37.144560+09:00,2021-12-22 21:00:18.372935+09:00
42,Alice,情報,2021-12-23 19:59:44.714347+09:00,2021-12-23 21:43:11.803009+09:00
43,Alice,英語,2021-12-24 06:11:10.395898+09:00,2021-12-24 06:46:07.539904+09:00
44,Alice,理科,2021-12-26 17:04:54.397375+09:00,2021-12-26 18:02:33.925855+09:00
45,Alice,理科,2021-12-26 21:24:07.994948+09:00,2021-12-26 22:56:36.062377+09:00
46,Alice,数学,2021-12-27 09:22:47.035712+09:00,2021-12-27 10:45:59.088924+09:00
47,Alice,数学,2021-12-27 10:50:56.793372+09:00,2021-12-27 12:09:52.511299+09:00
48,Alice,英語,2021-12-27 14:03:18.882366+09:00,2021-12-27 16:02:05.834506+09:00
49,Alice,国語,2021-12-27 16:33:29.787052+09:00,2021-12-27 17:45:48.154026+09:00
50,Alice,理科,2021-12-27 21:10:43.184692+09:00,2021-12-27 21:58:57.480775+09:00
51,Alice,数学,2021-12-28 09:57:25.828443+09:00,2021-12-28 11:32:23.183495+09:00
52,Alice,理科,2021-12-28 11:44:22.363219+09:00,2021-12-28 12:07:56.500980+09:00
53,Alice,理科,2021-12-28 17:33:30.578909+09:00,2021-12-28 17:55:39.991541+09:00
54,Alice,理科,2021-12-28 20:10:03.307344+09:00,2021-12-28 22:09:31.072651+09:00
55,Alice,数学,2021-12-29 20:03:55.953440+09:00,2021-12-29 21:30:18.056141+09:00
56,Alice,数学,2021-12-30 20:15:29.839894+09:00,2021-12-30 22:28:50.877336+09:00
57,Alice,数学,2021-12-31 13:01:11.399919+09:00,2021-12-31 13:31:30.152924+09:00
58,Alice,情報,2021-12-31 13:50:13.913974+09:00,2021-12-31 14:28:53.736773+09:00
59,Bob,国語,2021-12-31 23:22:50.470049+09:00,2021-12-31 23:42:25.407382+09:00
60,Bob,国語,2022-01-01 00:10:39.120936+09:00,2022-01-01 00:20:38.050888+09:00
61,Caroll,理科,2022-01-01 15:23:43.521955+09:00,2022-01-01 17:11:56.154144+09:00
62,Caroll,社会,2022-01-01 17:15:28.406356+09:00,2022-01-01 18:11:23.345599+09:00
63,Caroll,社会,2022-01-01 21:32:25.048874+09:00,2022-01-01 22:45:54.216314+09:00
64,Alice,国語,2022-01-02 19:22:19.274128+09:00,2022-01-02 19:58:05.991884+09:00
65,Alice,英語,2022-01-03 08:49:33.070062+09:00,2022-01-03 10:04:29.011310+09:00
66,Alice,数学,2022-01-03 10:11:39.789711+09:00,2022-01-03 11:58:40.442512+09:00
67,Alice,数学,2022-01-03 13:32:50.629970+09:00,2022-01-03 14:23:07.654489+09:00
68,Alice,理科,2022-01-03 16:58:49.057855+09:00,2022-01-03 18:00:24.058454+09:00
69,Alice,理科,2022-01-03 21:49:06.481781+09:00,2022-01-03 22:32:36.764219+09:00
70,Alice,数学,2022-01-04 15:18:10.265693+09:00,2022-01-04 16:38:51.354360+09:00
71,Alice,情報,2022-01-04 20:10:47.983441+09:00,2022-01-04 21:58:03.857313+09:00
72,Alice,英語,2022-01-04 22:01:01.312807+09:00,2022-01-04 22:39:20.358110+09:00
73,Alice,数学,2022-01-05 19:48:11.909593+09:00,2022-01-05 21:15:23.909994+09:00
74,Alice,数学,2022-01-05 21:17:24.608349+09:00,2022-01-05 21:34:39.787713+09:00
75,Alice,数学,2022-01-06 08:32:36.333638+09:00,2022-01-06 10:02:36.963203+09:00
76,Alice,理科,2022-01-06 10:06:08.054798+09:00,2022-01-06 12:03:53.176440+09:00
77,Alice,理科,2022-01-06 13:12:46.063378+09:00,2022-01-06 14:31:35.773453+09:00
78,Alice,情報,2022-01-06 14:53:11.115313+09:00,2022-01-06 15:54:41.192297+09:00
79,Alice,英語,2022-01-06 16:03:57.089601+09:00,2022-01-06 17:22:30.448463+09:00
80,Alice,英語,2022-01-06 20:29:33.918000+09:00,2022-01-06 21:49:05.692914+09:00
81,Alice,社会,2022-01-07 19:28:38.835556+09:00,2022-01-07 19:49:52.837295+09:00
82,Alice,英語,2022-01-08 06:12:06.225919+09:00,2022-01-08 06:58:14.027025+09:00
83,Alice,英語,2022-01-08 17:20:37.998320+09:00,2022-01-08 17:55:11.554682+09:00
84,Alice,数学,2022-01-09 11:02:49.022361+09:00,2022-01-09 12:21:07.249947+09:00
85,Alice,数学,2022-01-09 13:47:20.672475+09:00,2022-01-09 16:51:52.882802+09:00
86,Alice,数学,2022-01-10 08:59:02.003912+09:00,2022-01-10 10:01:53.462797+09:00
87,Alice,理科,2022-01-10 10:07:15.795066+09:00,2022-01-10 12:02:43.753197+09:00
88,Alice,理科,2022-01-10 13:12:09.360960+09:00,2022-01-10 14:27:51.196148+09:00
89,Alice,情報,2022-01-10 14:42:57.236017+09:00,2022-01-10 16:22:27.464697+09:00
90,Alice,情報,2022-01-10 14:33:39.049801+09:00,2022-01-10 17:32:11.907245+09:00
91,Alice,英語,2022-01-10 21:10:55.017386+09:00,2022-01-10 21:45:14.400245+09:00
92,Alice,社会,2022-01-11 21:11:05.481798+09:00,2021-01-11 21:47:49.369603+09:00
93,Alice,数学,2022-01-12 19:58:18.485725+09:00,2021-01-12 22:12:59.539396+09:00
94,Alice,情報,2022-01-13 20:07:06.811858+09:00,2021-01-13 21:20:36.082931+09:00
95,Alice,理科,2022-01-14 21:02:55.842721+09:00,2021-01-14 23:43:59.876845+09:00
96,Alice,英語,2022-01-15 08:32:05.479592+09:00,2021-01-15 09:42:51.225957+09:00
97,Alice,数学,2022-01-15 09:44:45.695671+09:00,2021-01-15 11:00:34.327081+09:00
98,Alice,数学,2022-01-15 11:10:16.420835+09:00,2021-01-15 12:02:38.131045+09:00
99,Alice,理科,2022-01-15 13:29:46.776149+09:00,2021-01-15 14:22:27.321029+09:00
100,Alice,理科,2022-01-15 17:14:15.661649+09:00,2021-01-15 18:04:18.529277+09:00
101,Alice,理科,2022-01-15 21:07:45.978476+09:00,2021-01-15 22:09:32.632048+09:00
102,Alice,英語,2022-01-16 06:22:21.244367+09:00,2021-01-16 07:12:40.089664+09:00
103,Alice,数学,2022-01-16 08:52:32.841424+09:00,2021-01-16 09:58:10.096121+09:00
104,Alice,数学,2022-01-16 10:01:14.624860+09:00,2021-01-16 11:22:55.557549+09:00
105,Alice,数学,2022-01-16 11:31:03.574269+09:00,2021-01-16 12:11:03.568614+09:00
106,Alice,理科,2022-01-16 13:45:26.825492+09:00,2021-01-16 15:00:37.232743+09:00
107,Alice,理科,2022-01-16 15:16:32.003821+09:00,2021-01-16 17:04:03.551476+09:00
108,Alice,理科,2022-01-16 21:07:06.095603+09:00,2021-01-16 22:09:29.294719+09:00
109,Alice,英語,2022-01-16 22:27:43.683717+09:00,2021-01-16 22:39:32.627387+09:00
110,Alice,社会,2022-01-17 19:56:38.569407+09:00,2022-01-17 21:03:31.548920+09:00
111,Alice,数学,2022-01-18 20:02:26.690820+09:00,2022-01-18 21:21:29.699120+09:00
112,Bob,社会,2022-01-18 05:43:49.465589+09:00,2022-01-18 06:21:24.788894+09:00
113,Alice,理科,2022-01-19 19:55:54.479846+09:00,2022-01-19 21:32:51.553336+09:00
114,Alice,理科,2022-01-20 20:07:54.759040+09:00,2022-01-20 22:12:31.675954+09:00
115,Alice,数学,2022-01-21 21:18:25.598600+09:00,2022-01-21 23:07:22.653350+09:00
116,Alice,数学,2022-01-22 09:00:44.857898+09:00,2022-01-22 10:12:19.422672+09:00
117,Alice,数学,2022-01-22 10:17:13.724517+09:00,2022-01-22 12:01:35.228949+09:00
118,Alice,英語,2022-01-22 13:15:50.666848+09:00,2022-01-22 13:54:45.170141+09:00
119,Alice,理科,2022-01-22 14:01:15.160975+09:00,2022-01-22 15:02:30.298301+09:00
120,Alice,理科,2022-01-22 15:10:50.868456+09:00,2022-01-22 16:03:16.469100+09:00
121,Alice,数学,2022-01-22 16:20:48.293889+09:00,2022-01-22 17:21:30.390565+09:00
122,Alice,数学,2022-01-22 21:13:21.214357+09:00,2022-01-22 22:00:41.162927+09:00
123,Alice,英語,2022-01-23 05:59:39.153964+09:00,2022-01-23 07:01:19.698680+09:00
124,Alice,社会,2022-01-23 21:09:16.540681+09:00,2022-01-23 22:01:44.445066+09:00
125,Alice,数学,2022-01-24 19:59:43.383743+09:00,2022-01-24 21:22:20.632148+09:00
126,Alice,理科,2022-01-25 20:01:59.249897+09:00,2022-01-25 21:32:42.956840+09:00
127,Bob,社会,2022-01-25 05:31:24.045401+09:00,2022-01-25 06:34:15.600416+09:00
128,Bob,英語,2022-01-25 06:35:11.874897+09:00,2022-01-25 06:55:34.189978+09:00
129,Alice,数学,2022-01-26 19:59:31.175927+09:00,2022-01-26 21:12:36.314888+09:00
130,Alice,理科,2022-01-26 21:20:24.461362+09:00,2022-01-26 22:22:39.093557+09:00
131,Alice,数学,2022-01-27 20:02:55.903263+09:00,2022-01-27 22:18:14.944790+09:00
132,Alice,国語,2022-01-28 21:21:51.105688+09:00,2022-01-28 23:12:39.044900+09:00
133,Alice,数学,2022-01-29 11:22:50.413823+09:00,2022-01-29 12:11:30.371256+09:00
134,Alice,数学,2022-01-29 13:14:40.133844+09:00,2022-01-29 14:02:45.635098+09:00
135,Alice,数学,2022-01-29 14:15:34.896581+09:00,2022-01-29 15:02:28.362840+09:00
136,Alice,理科,2022-01-29 15:15:43.068483+09:00,2022-01-29 16:03:24.988360+09:00
137,Alice,理科,2022-01-29 16:15:16.290383+09:00,2022-01-29 17:08:47.122073+09:00
138,Alice,英語,2022-01-29 17:20:05.693276+09:00,2022-01-29 18:12:03.109291+09:00
139,Alice,英語,2022-01-30 08:30:56.248372+09:00,2022-01-30 08:55:44.392649+09:00
140,Alice,数学,2022-01-30 09:05:43.873421+09:00,2022-01-30 09:30:53.625402+09:00
141,Alice,数学,2022-01-30 09:35:19.966118+09:00,2022-01-30 10:01:46.047842+09:00
142,Alice,数学,2022-01-30 10:06:45.795790+09:00,2022-01-30 10:31:32.468859+09:00
143,Alice,数学,2022-01-30 11:00:20.508329+09:00,2022-01-30 11:25:33.180041+09:00
144,Alice,数学,2022-01-30 11:30:51.281316+09:00,2022-01-30 11:55:03.915218+09:00
145,Alice,数学,2022-01-30 13:30:36.071372+09:00,2022-01-30 13:55:45.799818+09:00
146,Alice,理科,2022-01-30 14:20:17.776030+09:00,2022-01-30 16:51:29.587649+09:00
147,Alice,英語,2022-01-31 06:12:05.683368+09:00,2021-01-31 07:01:44.368948+09:00
148,Alice,社会,2022-01-31 20:12:40.352115+09:00,2021-01-31 21:58:12.285765+09:00
